Xtf_id,Name,Zip,Place,Operator,Contact,OperatorAddress,Phone,Web,Mail,BeginningOfOperation,Power,Energy,HouseConnections,NetLength,EnergySource1,EnergySource2,PositionAccuracy,x,y
tn1026,Wärmeverbund Dennigkofen,3072,Ostermundigen,Gemeinde Ostermundigen,Gemeinde Ostermundigen,Schiessplatzweg 1,0319301414,https://www.ostermundigen.ch,info@ostermundigen.ch,,,,,,2,,103,2603798.800000192,1199802.247134711
tn1032,Nahwärmeverbund Breu Holzbau AG,9413,Oberegg,Breu Holzbau AG,Pascal Breu,Schwellmühlestrasse 2,0718911668,https://www.breu-holzbau.ch/home,info@breu-holzbau.ch,,,,,,5,,103,2759666.9208759647,1254520.2901968493
tn1033,Wärmeverbund Dorf GmbH,9411,Reute,Gemeinde Reute,Remo Ritter,Dorf 19,0718988260,http://www.reute.ch/de/verwaltung/aemter/?amt_id=11637,remo.ritter@reute.ar.ch,,,,,,5,,103,2761048.2229588884,1254285.4947567573
tn8,Wärmeverbund Schachen Aarau,5000,Aarau,Eniwa AG,Eniwa AG,Industriestrasse 25<br />5033 Buchs,0628350010,https://www.eniwa.ch/?gclid=EAIaIQobChMIsrDPlcnG3QIVzbTtCh2svwQlEAAYASAAEgJit_D_BwE,,2018,,,,,11,16,102,2645405.3999999985,1249103.6000000015
tn893,Kläranlage Schönau / Pavatex,6330,Cham,EWZ,Kläranlage Schönau,Lorzenstrasse 3,0417841155,https://www.gvrz.ch,info@gvrz.ch,2016,,20360,1,0.60000002,14,15,103,2676108.8000000007,1227850.3000000007
tn180,Birshofklinik,4142,Münchenstein,Primeo Energie,Primeo Energie,Weidenstrasse 27,0614154141,https://www.primeo-energie.ch,waermeprojekte@primeo-energie.ch,,0.115,,,,1,2,103,2612614.6000006166,1264091.5997113995
tn1017,CAD Bassins Piscine,1269,Bassins,Commune de Bassins,François Ravanas,"Avenue de la Gare 22, 1028 Préverenges",0219891788,https://www.romande-energie.ch,francois.ravanas@romande-energie.ch,2018,,,,,5,1,103,2507338.9077109597,1146825.8969067535
tn1028,Wärmekollektiv Bremgarten bei Bern,3047,Bremgarten bei Bern,Gemeinde Bremgarten,Gemeindeverwaltung Bremgarten,Chutzenstrasse 12,0313066464,https://www.3047.ch,gemeinderat@3047.ch,2020,5.6,11700,,,15,,103,2599231.782789961,1202348.095657421
tn152,Wärmeversorgung Binningen AG,4102,Binningen,Primeo Energie,Wärmeversorgung Binningen AG,c/o Gemeinde Binningen,0614255318,https://www.binningen.bl.ch,daniel.egli@binningen.bl.ch,1984,8.5,14900,68,5.19999981,15,2,103,2610332.1000005044,1265542.3997116997
tn1014,CAD Puidoux,1070,Puidoux,Romande Energie,François Ravanas,"Avenue de la Gare 22, 1028 Préverenges",0219891788,https://www.romande-energie.ch,francois.ravanas@romande-energie.ch,2018,5.2,,,,5,8,103,2548453.2199239107,1148885.9675238794
tn1039,Wärmeverbund Brügger HTB Frutigen,3714,Frutigen,Brügger HTB Gmbh Hauptsitz,Brügger HTB Gmbh Hauptsitz,Schwandistrasse 10,0336723030,https://bruegger-htb.ch/fernwaerme/,info@bruegger-htb.ch,2008,2.4,,,,5,,103,2616880.3093904117,1160012.0815814994
tn1012,CAD Cossonay,1304,Cossonay,Romande Energie,François Ravanas,"Avenue de la Gare 22, 1028 Préverenges",0219891788,https://www.romande-energie.ch,francois.ravanas@romande-energie.ch,2020,1.4,,,,5,2,103,2528385.3741934826,1162659.969797245
tn1011,wärmenetz GSG,9001,St.Gallen,energienetz GSG AG,energienetz GSG AG c/o St. Galler Stadtwerke,St. Leonhard-Strasse 15,0712246245,https://energienetz-gsg.ch,kontakt@energienetz-gsg.ch,2019,1.3,2400,,,14,,103,2739738.588884883,1252359.66645265
tn1140,Frars Hohenegger,7533,Fuldera,Frars Hohenegger,,"Via Maistra 29, 7533 Fuldera",+41(0)818585214,,info@frars-hohenegger.ch,0,,,0,,5,0,102,2824346.727311703,1167763.1397428282
tn1024,Wärmeverbund Mösli,3072,Ostermundigen,Wärmeverbund Marzili Bern AG,Bruno Liesch,Laupenstrasse 20,0313002911,https://www.waermeverbund.ch/wv-moesli/,bruno.liesch@waermeverbund.ch,2009,3.8,7000,,,5,14,103,2603326.499153389,1201378.0416198962
tn1486,CAD Bougy-Villars SA,1172,Bougy-Villars,SEFA,,"Chemin Lucien Chevallaz 5, 1170 Aubonne  ",0218215400,https://www.sefa.ch/clients-prives/contact#sefaacform,info@sefa.ch,2024,,,,,5,,103,2516778.3498760522,1148094.1783944154
tn1030,Fernwärmenetz Feriendorf Fiesch,3984,Fiesch,Feriendorf Fiesch,Sport Resort Fiesch,Feriendorf 1,0279701515,https://www.sport-resort.ch,info@sport-resort.ch,1994,1.4,2550,,,5,,103,2653242.763022041,1138854.267885522
tn605,Bürgenstock,6363,Obbürgen,,Bürgenstock Hotels & Resorts,,0416126000,https://www.wirthensohn.ch/index.php/referenzen/zentrale-energieversorgung/96-buergenstock-resort-zentrale-waerme-und-kaelteversorgung,information@buergenstock.ch,2017,3.1,,,1.3,10,2,103,2672072.5000036387,1205515.3996990134
tn1004,Holzenergieverbund Zinzikon,8408,Winterthur,Stadtwerk Winterthur,Stadtwerk Winterthur,Vertrieb,0522674144,https://www.stadtwerk.winterthur.ch,stadtwerk.vertrieb@win.ch,,,3000,,,5,,103,2699022.8000048436,1263926.9471480544
tn1013,Chauffage de quartier La Tour-de-Peilz,1814,La Tour-de-Peilz,Romande Energie,François Ravanas,"Avenue de la Gare 22, 1028 Préverenges",0219891788,https://www.romande-energie.ch,francois.ravanas@romande-energie.ch,2015,0.24,,3,,6,,103,2555959.508835872,1144680.9344416724
tn6,Wärme- Kälteverbund Telli Aarau,5000,Aarau,Eniwa AG,Eniwa AG,Industriestrasse 25<br />5033 Buchs,0628350010,https://www.eniwa.ch/?gclid=EAIaIQobChMIsrDPlcnG3QIVzbTtCh2svwQlEAAYASAAEgJit_D_BwE,,2018,,,,,11,,103,2646802.3999999985,1249925.6999999993
tn7,Wärme- Kälteverbund Torfeld Aarau,5000,Aarau,Eniwa AG,Eniwa AG,Industriestrasse 25<br />5033 Buchs,0628350010,https://www.eniwa.ch/?gclid=EAIaIQobChMIsrDPlcnG3QIVzbTtCh2svwQlEAAYASAAEgJit_D_BwE,,2014,17.5,37400,,5.7,11,2,103,2647095.5,1249459.5
tn1005,Holzenergieverbund Gern,8408,Winterthur,Stadtwerk Winterthur,Stadtwerk Winterthur,Vertrieb,0522674144,https://www.stadtwerk.winterthur.ch,stadtwerk.vertrieb@win.ch,,3.35,8000,,,5,1,103,2700602.0000049253,1262393.8506519392
tn741,Wärmeversorgung Schnider AG,9032,Engelburg,Gemeinde Gaiserwald,Schnider AG,Breitschachenstrasse 57,0712781515,https://www.schnider-ag.ch,info@schnider-ag.ch,1994,5,3500,8,,5,,103,2743879.2000070685,1257050.999709622
tn372,Heizzentrale Jardin Bellevue in Port,2560,Port,Stockwerkeigentümergemeinschaft Jardin Bellevue,ZIBAG-Zentrum für Immobilienbewertung,Thunstrasse 162<br />Muri b. Bern,0442508811,https://www.holzenergie.ch/fileadmin/user_resources/01_Holzenergie/Projektbeispiele/Waermeverbuende/D_02_WV_Pellets_JardinBellevue_Port.pdf,info@holzenergie.ch,2010,0.15,170,,0.07,6,,103,2585835.89999929,1217915.7997016695
tn1023,Nahwärmeverbund Ebni Neftenbach,8413,Neftenbach,Gemeinde Neftenbach,Gemeinde Neftenbach,Schulstrasse 3/7,0523050666,https://www.neftenbach.ch,info@neftenbach.ch,2012,1.9,,,,5,20,103,2692301.680041779,1264540.9108926593
tn1025,Wasserverbund Bachstrasse,3072,Ostermundigen,Energie Wasser Bern,Energie Wasser Bern,Monbijoustr. 11,0313213111,https://www.ewb.ch,,,1.5,3,,,11,,103,2603671.857192243,1200078.4258049994
tn3,Kantonsspital Aarau,5000,Aarau,Eniwa AG,Eniwa AG,Industriestrasse 25<br />5033 Buchs,0628350010,https://www.eniwa.ch/?gclid=EAIaIQobChMIsrDPlcnG3QIVzbTtCh2svwQlEAAYASAAEgJit_D_BwE,,2016,,,,,11,,103,2646877.6999999993,1248815.6999999993
tn1031,Fernwärmenetz Oberegg,9413,Oberegg,Energie Oberegg AG,Energie Oberegg AG,Feldlistrasse 39,0763489423,https://www.energieoberegg.ch/index.php/fernwaermenetz-oberegg-2,info@energieoberegg.ch,2018,0.5,,,,5,14,103,2759559.504075061,1254709.0594307142
tn1036,Fernwärme Greppen,6404,Greppen,ECOGEN Rigi Genossenschaft,ECOGEN Rigi Genossenschaft,Haltikon 55,0418114143,https://www.ecogen-rigi.ch/energiezentrum/energiezentrum-haltikon,info@ecogen-rigi.ch,2020,0.25,,40,,6,1,103,2675181.4733877825,1211888.316962333
tn4,Wärme- Kälteverbund Goldern,5000,Aarau,Eniwa AG,Eniwa AG,Industriestrasse 25<br />5033 Buchs,0628350010,https://www.eniwa.ch/?gclid=EAIaIQobChMIsrDPlcnG3QIVzbTtCh2svwQlEAAYASAAEgJit_D_BwE,,2019,,,,,11,16,102,2646252.3000000007,1247914.6000000015
tn5,Wärme- Kälteverbund Kasinoareal Aarau,5000,Aarau,Eniwa AG,Eniwa AG,Industriestrasse 25<br />5033 Buchs,0628350010,https://www.eniwa.ch/?gclid=EAIaIQobChMIsrDPlcnG3QIVzbTtCh2svwQlEAAYASAAEgJit_D_BwE,info@eniwa.ch,2013,6.6,12300,,,11,,103,2645814.1999999993,1249504.1999999993
tn333,Fernwärmeversorgung Lauenen,3782,Lauenen b. Gstaad,Gemeinde Lauenen,Gemeindeverwaltung Lauenen,Lauenenstrasse 2,0337653015,http://www.lauenen.ch,gemeindeverwaltung@lauenen.ch,2009,0.3,,6,,5,,103,2591068.6999995345,1141493.7996858896
tn713,Wärmeverbund Herbetswil,4715,Herbetswil,Gemeinde Herbetswil,Schulhaus Herbetswil,Schulhausstrasse 199,0619759967,https://www.gunep.ch/referenzen,info@gunep.ch,2017,1,,,,5,,103,2611848.2,1238308.3
tn863,CAD St-Légier / La Chiésaz,1806,St-Légier - La Chiésaz,Groupe E,GROUPE E LEGICAD,Ch. de Pangires 2,0263526800,https://www.groupe-e.ch/fr/energie/chaleur/professionnels/chauffage-a-distance,vente@groupe-e.ch,2007,1.7,2100,12,0.6,5,1,103,2556815.299995755,1147184.4993740234
tn1006,Wärmeverbund Tägelmoos,8408,Winterthur,Stadtwerk Winterthur,Stadtwerk Winterthur,Vertrieb,0522674144,https://www.stadtwerk.winterthur.ch,stadtwerk.vertrieb@win.ch,,,16000,,,1,,102,2699773.5975591075,1260518.164275607
tn353,Wärmeversorgung Sagiweg Melchnau,4917,Melchnau,Wärmevebund Sagiweg,Urs Duppenthaler,Käsereistrasse 2,0629271989,https://www.waermeverbund-melchnau.ch,,2009,1.185,1728,34,1.755,5,20,103,2631487.4000015724,1225456.9997032417
tn538,Wärmeverbund Obervaz,7082,Obervaz,Gemeinde Vaz/Obervaz,Gemeinde Vaz/Obervaz,Plam dil Roisch 2,0813852100,https://www.vazobervaz.ch/assets/Uploads/tatigkeitsbericht-2018-bau-und-werke-210x280mm-web-RZ.pdf,gemeinde@vazobervaz.ch,2012,5.2,11100,13,5.2,5,1,103,2760295.7105810307,1173867.539056506
tn1016,CAD Bassins Plattets,1269,Bassins,Commune de Bassins,François Ravanas,"Avenue de la Gare 22, 1028 Préverenges",0219891788,https://www.romande-energie.ch,francois.ravanas@romande-energie.ch,2018,0.49,,,,5,1,103,2506439.9474590635,1147489.074149689
tn9,Netzerweiterung Holzheizung Aarburg,4663,Aarburg,Franke Schweiz AG,Dieter Deiss,Franke-Strasse 2,0564442555,https://www.bafu.admin.ch/dam/bafu/de/dokumente/klima/klima-kop-bis-2016/0180-Netzerweiterung-Holzheizung-val.pdf.download.pdf/Validierung-Bericht-Checkliste-geschw%C3%A4rzt_20170803.pdf,daniel.meier@dmeag.ch,2015,4.45,5000,,,5,1,103,2635713.8999999985,1241037.6999999993
tn11,Wärmeverbund Ammerswil Moos / Kamm,5600,Ammerswil,"AEW Energie AG, Aarau",AEW Energie AG,Obere Vorstadt 40<br />5001 Aarau,0628342111,https://www.aew.ch/privatkunden/waerme/aew-anlagen/referenzanlagen.html,info@aew.ch,2014,0.215,,25,0.4,6,,101,2657953,1246816.8999999985
tn12,Wärmeverbund Auw Grossäcker,5644,Auw,Gemeinde Auw,Gemeinde Auw,Bergstrasse 2,0566681802,https://www.amstutzholzenergie.ch/energietechnik/referenzen/,energietechnik@amstutzholzenergie.ch,2014,1.64,2500,,1.4,5,,102,2670245.1000000015,1229379.5
tn1,Holzenergieverbund Sennhof,8408,Winterthur,Stadtwerk Winterthur,Stadtwerk Winterthur,Vertrieb,0522674144,https://www.stadtwerk.winterthur.ch,stadtwerk.vertrieb@win.ch,2005,2.6,6000,,,5,1,103,2699500.2533978834,1258117.272574001
tn13,Wärmeverbund Bad Zurzach,5330,Bad Zurzach,"AEW Energie AG, Aarau",AEW Energie AG,Obere Vorstadt 40<br />5001 Aarau,0628342111,https://www.aew.ch/privatkunden/waerme/aew-anlagen/referenzanlagen.html,info@aew.ch,2016,11.6,17000,,,5,1,102,2663931.6999999993,1271744.3999999985
tn154,Kraftwerkinsel Birsfelden,4127,Birsfelden,Alternativ-Energie Birsfelden AG,c/o Kraftwerk Birsfelden AG,Hofstrasse 82,0613177711,https://www.kw-birsfelden.ch,info@kw-birsfelden.ch,2016,2.55,,,,11,5,103,2614125.6000000015,1267700.6999999993
tn157,"Wärmeverbund Bubendorf, Furler",4416,Bubendorf,Schreinerei Furler GmbH,Schreinerei Furler GmbH,Brühlstrasse 10,0613820044,https://schreinerei-furler.ch/,info@schreinerei-furler.ch,,0.03,,,,6,,103,2622415.1000000015,1256032.6000000015
tn159,Wärmeverbund Diegten/Holzenergiezentrum,4457,Diegten,"AEW Energie AG, Aarau",AEW Energie AG,Obere Vorstadt 40<br />5001 Aarau,0628342111,https://www.aew.ch/privatkunden/waerme/aew-anlagen/referenzanlagen.html,info@aew.ch,2014,1.21,3000,,,5,1,103,2628088.8000000007,1252249.1999999993
tn894,Totalenergieanlage Kernzone Cham,6330,Cham,"WWZ Energie AG, Zug","WWZ Energie AG, Zug",Chollerstrasse 24,0417484545,https://www.wwz.ch,info@wwz.ch,1990,1.5,2200,10,1,5,1,103,2677401.5,1226034.5
tn185,Wärmeverbund Läckerlihuus,4142,Münchenstein,Primeo Energie,Primeo Energie,Weidenstrasse 27,0614154141,https://www.reinach-bl.ch/de/dokumente/04-Abfall-Umwelt-Mobilitaet/Umwelt/Energieplanung_180525_ev_Mitwirkung.pdf,waermeprojekte@primeo-energie.ch,,0.408,,,,1,,102,2613517.200000661,1264161.0997114114
tn1018,CAD Les Cèdres Ecublens,1024,Ecublens,Romande Energie,François Ravanas,"Avenue de la Gare 22, 1028 Préverenges",0219891788,https://www.romande-energie.ch,francois.ravanas@romande-energie.ch,2020,9.5,,,,5,8,103,2533497.4299985548,1153625.1582492986
tn14,Holzschnitzel-Heizung Pflegezentrum Baden,5400,Baden,Regionales Pflegezentrum Baden AG,Hans Schwendeler,Wettingerstrasse,0562038111,https://www.bafu.admin.ch/bafu/de/home/themen/klima/fachinformationen/klimapolitik/kompensation-von-co2-emissionen/liste-registrierte-kompensationsprojekte/3-2-waermeerzeugung-durch-verbrennung-von-biomasse-mit-und-ohne-.html,hans.schwendeler@rpb.ch,2018,3.7,5600,,,5,1,103,2665968.8000000007,1258242.1000000015
tn15,Schulhaus Kappelerhof Baden,5400,Baden,Gemeinde Baden,Schulhaus Kappelerhof,Kornfeldweg,0562223000,https://www.holzenergie.ch,info@holzenergie.ch,1992,0.55,,,,5,,103,2664112.5,1259487.6000000015
tn162,Schulweg Dittingen,4243,Dittingen,Gemeinde Dittingen,Gemeindeverwaltung Dittingen,Schulweg 2,0617612550,https://www.dittingen.ch,gemeinde.dittingen@bluewin.ch,1987,0.34999999,474,3,0.2,5,,103,2604388,1254647.6000000015
tn1128,Wärmeverbund Krummeneich,4133,Pratteln,EBL,,"Mühlemattstrasse 6, 4410 Liestal",0800325000,https://www.ebl.ch/de/unternehmen/standorte.html,Info@ebl.ch,,3.7,7477,70,,5,,103,2620676.5716690985,1263660.7041263466
tn164,Energiezentrale Mifa AG Frenkendorf,4402,Frenkendorf,Mifa AG,Mifa AG,Rheinstrasse 99,0619059111,https://www.eicher-pauli.ch/de/Referenzen,liestal@eicher-pauli.ch,2017,0.8,,,,14,1,103,2621182.6000000015,1262372.6000000015
tn165,Wohnüberbauung Leimenmatt,4402,Frenkendorf,IWB Basel,Industrielle Werke Basel,Margarthernstrasse 40,0612755848,https://www.raimannpartner.ch/images/raimann/referenzen/Leimenmatt_Frenkendorf.pdf,info@iwb.ch,2010,0.11,,21,,6,,103,2620382.6000000015,1261239.5
tn166,Microverbund Hölstein - Boog,4434,Hölstein,Hof Weigist,Kaspar Boog,Bennwilerstrasse,0619511226,https://www.gunep.ch/referenzen,info@gunep.ch,2012,0.06,,,,5,,103,2625247,1252125.6999999993
tn163,Danfoss AG,4402,Frenkendorf,Danfoss AG,Danfoss AG,Parkstrasse 6,0615100019,https://www.danfoss.com,info@danfoss.ch,,,,,,3,,103,2621282.6000010422,1261209.1997107824
tn1163,Wärmeverbund Aefligen,3426,Aefligen,Wärmeverbundgesellschaft Aefligen,Martin und Daniel Hofer,Hofweg 4,0344451942,,,2017,0.5,1000,,0.75,5,,102,2608941.237439226,1215790.4937015672
tn160,Dorfstrasse Dittingen,4243,Dittingen,Burgerkorporation Dittingen,,Dorfstrasse 26,+41798503029,https://www.bk-dittingen.ch/fernwaerme,verwaltung@bk-dittingen.ch,1994,0.08,600,75,0.03,5,,102,2604428.1000000015,1254385
tn161,Hollenweg Dittingen,4243,Dittingen,Burgerkorporation Dittingen,,Dorfstrasse 26,+41798503029,https://www.bk-dittingen.ch/fernwaerme,verwaltung@bk-dittingen.ch,1995,0.1,138,5,0.25,5,,102,2604957.5,1253951.5
tn1129,Wärmeverbund Schulanlage,4242,Laufen,EBL,,"Mühlemattstrasse 6, 4410 Liestal",0800325000,https://www.ebl.ch/de/unternehmen/standorte.html,info@ebl.ch,,0.419,649,,,5,,103,2604590.4870673222,1252543.8026548987
tn1485,CAD Givrins SA,1271,Givrins,SEFA,,"Chemin Lucien Chevallaz 5, 1170 Aubonne ",0218215400,https://www.sefa.ch/clients-prives/contact#sefaacform,info@sefa.ch,2013,1.25,,,,5,,103,2505079.1191407936,1142675.6479181685
tn171,Wärmeverbund Burg,4410,Liestal,EBL,Genossenschaft Elektra Baselland,Mühlemattstrasse 6,0800325000,https://www.ebl.ch/de/unternehmen/standorte.html,info@ebl.ch,2000,1.86,3273,38,,5,,103,2622550.7,1258980.3999999985
tn174,Wärmeverbund Liestal Rankweg,4410,Liestal,"AEW Energie AG, Aarau",AEW Energie AG,Obere Vorstadt 40<br />5001 Aarau,0628342111,https://www.aew.ch/privatkunden/waerme/aew-anlagen/referenzanlagen.html,info@aew.ch,,0.115,,,,6,,102,2623255,1259409.3999999985
tn175,Wärmeverbund Liestal Rosenstrasse,4410,Liestal,"AEW Energie AG, Aarau",AEW Energie AG,Obere Vorstadt 40<br />5001 Aarau,0628342111,https://www.aew.ch/privatkunden/waerme/aew-anlagen/referenzanlagen.html,info@aew.ch,,0.06,,,,6,,102,2622712.5,1259363.1000000015
tn176,Wärmeversorgung Oristal,4410,Liestal,Industrielle Werke Basel,Industrielle Werke Basel,Margarthernstrasse 40,0612755111,https://www.iwb.ch,thomas.bachofner@iwb.ch,1989,0.57999998,850,2,2,1,,102,2622055.3000000007,1259097
tn177,Wärmeversorgung Ostenberg,4410,Liestal,ADEV Energiegenossenschaft,ADEV Energiegenossenschaft,Kasernenstrasse 63<br />4410 Liestal,0619272030,https://www.adev.ch,info@adev.ch,1992,0.92,1300,145,2,1,3,103,2620759.5,1260105.5
tn184,Wärmeverbund Bottmingen AG,4142,Münchenstein,WärmeverbundB Wärmeverbund Bottmingen AG,c/o Elektra Birseck (EBM),Weidenstrasse 27,0614154141,https://www.ebm.ch,info@ebm.ch,1989,2.9000001,,38,2.16,1,3,103,2613405.8999999985,1262564.1000000015
tn201,Wärmeverbund Oberwil-Therwil,4104,Oberwil,Wärmeverbund Oberwil-Therwil AG,Wärmeverbund Oberwil-Therwil AG,Haupstrasse 24,0614154141,https://www.primeo-energie.ch,waermeprojekte@primeo-energie.ch,1994,4.69999981,8430,77,4.4000001,15,3,103,2608897.300000435,1261657.7997108847
tn1019,CAD Château-d'Oex,1660,Château-d'Oex,Romande Energie,François Ravanas,"Avenue de la Gare 22, 1028 Préverenges",0219891788,https://www.romande-energie.ch,francois.ravanas@romande-energie.ch,2020,4.3,,,,5,1,103,2576564.134496029,1147157.536380136
tn16,Wärmeverbund Bergdietikon Roosmatt,8962,Bergdietikon,"AEW Energie AG, Aarau",AEW Energie AG,Obere Vorstadt 40<br />5001 Aarau,0628342111,https://www.aew.ch/privatkunden/waerme/aew-anlagen/referenzanlagen.html,info@aew.ch,,0.035,,,,12,,103,2672060.1000000015,1249263.6000000015
tn17,Kreisschule Mutschellen,8965,Berikon,Gemeinde Mutschellen,Gemeinde Mutschellen,Bahnhofstrasse 34,0566483100,https://www.holzenergie.ch,schulleitung.gindrat@kreisschule.ch,1995,0.7,,,,5,,103,2670017.8999999985,1245468.1999999993
tn19,Wärmeverbund Birrwil,5708,Birrwil,Gemeinde Birrwil,Martin Gloor,Bergstrasse 17,0333347878,https://www.allotherm.ch/waermeverbund/referenzen-presse/referenzen.html,info@allotherm.ch,2010,0.1,,,0.21,5,,103,2657065.6000000015,1238485.6000000015
tn20,Wärmeverbund Boniswil Bachstrasse,5706,Boniswil,"AEW Energie AG, Aarau",AEW Energie AG,Obere Vorstadt 40<br />5001 Aarau,0628342111,https://www.aew.ch/privatkunden/waerme/aew-anlagen/referenzanlagen.html,info@aew.ch,,0.024,,,,12,,102,2656280.3000000007,1240863.3000000007
tn21,Einwohnergemeinde Boswil,5623,Boswil,Gemeinde Boswil,Gemeindeverwaltung,Zentralstrasse 12,0566789000,https://www.holzenergie.ch,kanzlei@boswil.ch,2001,0.65,,,,5,,103,2666064.1000000015,1239374.1999999993
tn22,Fernwärmeversorgung Böttstein,5315,Böttstein,Gemeinde Böttstein,Fernwärmeversorgung Böttstein,c/o Gemeindeverwaltung Böttstein,0562691220,https://www.boettstein.ch,gemeinde@boettstein.ch,1983,8,18500,338,14,17,,103,2659427.1000000015,1267115.5
tn192,Wärmeversorgung Walzwerk,4142,Münchenstein,ADEV Energiegenossenschaft,ADEV Energiegenossenschaft,Kasernenstrasse 63<br />4410 Liestal,0619272030,https://www.adev.ch,info@adev.ch,2008,2.5,,5,1,3,,103,2613385.8999999985,1261979.8999999985
tn237,Wärmeverbund Adelheiz,3715,Adelboden,LWA Adelheiz AG,p.A. Spiess Energie- und Haustechnik AG,Erlenweg 1,0336731222,https://www.lwa.ch,hallo@lwa.ch,2011,7.3,,,5.5,5,,102,2609139.6000000015,1148943.7
tn193,Fermwärme Polyfeld / Kriegacker,4132,Muttenz,AIB,Amt für Industrielle Betriebe,Freulerstrasse 1<br />4127 Birsfelden,0613151010,https://polyfeld.ch/wp-content/uploads/2011/04/polyfeld_nachhaltigkeit.pdf,infoaib@bl.ch,2018,8.9,,341,,14,3,103,2614905,1265160.3
tn1141,Wärmeverbund Turnhalle,4467,Rothenfluh,,,,,,,,,,8,,5,,102,2636094.54742537,1256815.7909834615
tn168,Fernheizung Christen,4452,Itingen,Fernheizung Christen GmbH,"Beat, Martin und Max Christen",Landstrasse 27,0619714010,https://www.christentransport.ch/,info@christentransport.ch,1984,0.34999999,600,13,0.40000001,5,1,103,2626028,1257462.5
tn188,Wärmeverbund St-Jakob,4142,Münchenstein,Industrielle Werke Basel,Industrielle Werke Basel,Margarthernstrasse 40,0612755505,https://www.iwb.ch,thomas.bachofner@iwb.ch,,8.055,,11,,15,2,103,2613971.3999999985,1265888.7
tn24,Wärmeverbund Bözen Gässlimatt II,5076,Bözen,"AEW Energie AG, Aarau",AEW Energie AG,Obere Vorstadt 40<br />5001 Aarau,0628342111,https://www.aew.ch/privatkunden/waerme/aew-anlagen/referenzanlagen.html,info@aew.ch,,0.044,,,,13,,103,2648617.5,1260755.3999999985
